[@0,24:28='class',<'class'>,2:0]
[@1,30:35='teste3',<ID>,2:6]
[@2,37:43='extends',<'extends'>,2:13]
[@3,45:46='ID',<ID>,2:21]
[@4,49:49='{',<'{'>,3:0]
[@5,52:54='int',<'int'>,4:1]
[@6,56:57='um',<ID>,4:5]
[@7,58:58=';',<';'>,4:7]
[@8,76:79='char',<'char'>,5:1]
[@9,81:86='letraA',<ID>,5:6]
[@10,87:87=';',<';'>,5:12]
[@11,90:96='boolean',<'boolean'>,6:1]
[@12,98:107='verdadeiro',<ID>,6:9]
[@13,108:108=';',<';'>,6:19]
[@14,111:117='quantum',<'quantum'>,7:1]
[@15,119:127='myQuantum',<ID>,7:9]
[@16,128:128=';',<';'>,7:18]
[@17,132:133='um',<ID>,9:1]
[@18,135:135='=',<'='>,9:4]
[@19,137:137='1',<INT>,9:6]
[@20,138:138=';',<';'>,9:7]
[@21,141:146='letraA',<ID>,10:1]
[@22,148:148='=',<'='>,10:8]
[@23,150:152=''a'',<CHAR>,10:10]
[@24,153:153=';',<';'>,10:13]
[@25,156:162='boolean',<'boolean'>,11:1]
[@26,164:164='=',<'='>,11:9]
[@27,166:170='false',<QUANTUM>,11:11]
[@28,171:171=';',<';'>,11:16]
[@29,174:182='myQuantum',<ID>,12:1]
[@30,184:184='=',<'='>,12:11]
[@31,186:190='maybe',<QUANTUM>,12:13]
[@32,191:191=';',<';'>,12:18]
[@33,193:193='}',<'}'>,13:0]
[@34,195:194='<EOF>',<EOF>,14:0]
